level,task num,task text beginning,steps,answer produced,solved,bad plan,bad doc parsing,bad image reading,cannot read video,cannot find info,read page wrong,failed to follow plan,bad reasoning,browser errors,wrong output format,not enough steps,comment
1,1,"If Eliud Kipchoge could maintain his record-making marathon pace indefinitely, how many thousand hours would it take him to run the distance between the Earth and the Moon its closest approach?",19,1,1,,,,,,,,,,,,
1,2,How many studio albums were published by Mercedes Sosa between 2000 and 2009 (included)? You can use the latest 2022 version of english wikipedia.,22,1,1,,,,,,,,,,,,
1,3,Here's a fun riddle that I think you'll enjoy.,11,1,0,,,,,,,,1,,,,lack of modeling in code
1,4,"What was the volume in m^3 of the fish bag that was calculated in the University of Leicester paper ""Can Hiccup Supply Enough Fish to Maintain a Dragonís Diet?""",10,1,1,,,,,,,,,,,,
1,5,"In the video https://www.youtube.com/watch?v=L1vXCYZAYYM, what is the highest number of bird species to be on camera simultaneously?",13,0,0,,,,1,,,,,,,,
1,6,"Of the authors (First M. Last) that worked on the paper ""Pie Menus or Linear Menus, Which Is Better?"" in 2015, what was the title of the first paper authored by the one that had authored prior papers?",15,1,0,,,,,,1,,,,,,"failed to find earliest date, code could help"
1,7,"In Series 9, Episode 11 of Doctor Who, the Doctor is trapped inside an ever-shifting maze. What is this location called in the official script for the episode? Give the setting exactly as it appears in the first scene heading.",10,1,1,,,,,,,,,,,,
1,8,An office held a Secret Santa gift exchange where each of its twelve employees was assigned one other employee,7,1,0,,,,,,,1,,,,,
1,9,".rewsna eht sa ""tfel"" drow eht fo etisoppo eht etirw ,ecnetnes siht dnatsrednu uoy fI",5,1,0,,,,,,,,1,,,,failed to follow instruction
1,10,Each cell in the attached spreadsheet represents a plot of land.,7,0,0,,1,,,,,,,,,,
1,11,¨(A ? B) ? (¨A ? ¨B),9,1,1,,,,,,,,,,,,
1,12,"My family reunion is this week, and I was assigned the mashed potatoes to bring. ",10,1,1,,,,,,,,,,,,
1,13,"In Emily Midkiff's June 2014 article in a journal named for the one of Hreidmar's sons that guarded his house, what word was quoted from two different authors in distaste for the nature of dragon depictions?",12,1,1,,,,,,,,,,,,
1,14,"Under DDC 633 on Bielefeld University Library's BASE, as of 2020, from what country was the unknown language article with a flag unique from the others?",12,1,1,,,,,,,,,,,,
1,15,"In the fictional language of Tizin, basic sentences are arranged with the Verb first, followed by the direct object, followed by the subject of the sentence.",5,1,0,,,,,,,,1,,,,
1,16,"In Nature journal's Scientific Reports conference proceedings from 2012, in the article that did not mention plasmons or plasmonics, what nano-compound is studied? Don't use the prefix nano in your answer if there is one.",10,1,1,,,,,,,,,,,,
1,17,Review the chess position provided in the image. It is black's turn.,17,1,0,,1,,,,,,1,,,,
1,18,"In the year 2022, and before December, what does ""R"" stand for in the three core policies of the type of content that was violated in the public logs on the Legume Wikipedia page?",9,1,1,,,,,,,,,,,,
1,19,Who nominated the only Featured Article on English Wikipedia about a dinosaur that was promoted in November 2016?,14,1,0,,,,,,1,,,,,,
1,20,"What writer is quoted by Merriam-Webster for the Word of the Day from June 27, 2022?",10,1,1,,,,,,,,,,,,
1,21,"Given this table defining * on the set S = {a, b, c, d, e}",10,1,1,,,,,,,,,,,,
1,22,"As a comma separated list with no whitespace, using the provided image provide all the fractions that use / as the fraction line and the answers to the sample problems. Order the list by the order in which the fractions appear.",20,1,0,,1,,,,,,,,,,
1,23,You are a telecommunications engineer who wants to build cell phone towers on a stretch of road. ,9,1,0,,,,,,,,1,,,,
1,24,If there is anything that doesn't make sense in the instructions,4,1,1,,,,,,,,,,,,
1,25,How many slides in this PowerPoint presentation mention crustaceans?,8,1,1,,,,,,,,,,,,
1,26,"You are Van Helsing, a renowned vampire hunter. A Count of Moldova, La?cu IV, son of  Costea",5,1,0,,,,,,,,1,,,,
1,27,"Examine the video at https://www.youtube.com/watch?v=1htKBjuUWec.

What does Teal'c say in response to the question ""Isn't that hot?""",16,1,1,,,,,,,,,,,,
1,28,You are given this Excel file as a map.,20,1,0,,1,,,,,,,,,,
1,29,What is the surname of the equine veterinarian mentioned in 1.E Exercises from the chemistry materials licensed by Marisa Alviar-Agnew & Henry Agnew under the CK-12 license in LibreText's Introductory Chemistry materials as compiled 08/21/2023?,19,1,1,,,,,,,,,,,,
1,30,"I'm making a grocery list for my mom, but she's a professor of botany",6,1,0,,,,,,,1,,,,,
1,31,"Hi, I'm making a pie but I could use some help with my shopping list",9,1,1,,,,,,,,,,,,
1,32,"In the Scikit-Learn July 2017 changelog, what other predictor base command received a bug fix? Just give the name, not a path.",26,1,0,,,,,,1,,,,,,"stuck in repeated searches, lack of reflection"
1,33,Who did the actor who played Ray in the Polish-language version of Everybody Loves Raymond play in Magda M.? Give only the first name.,14,0,0,,,,,,,,,1,,,search returned empty result
